carat,color,clarity,depth,table,x,y,z,price
0.22,E,VS2,65.1,61,3.87,3.78,2.49,337
0.86,E,SI2,55.1,69,6.45,6.33,3.52,2757
0.96,F,SI2,66.3,62,6.27,5.95,4.07,2759
0.7,F,VS2,64.5,57,5.57,5.53,3.58,2762
0.7,F,VS2,65.3,55,5.63,5.58,3.66,2762
0.91,H,SI2,64.4,57,6.11,6.09,3.93,2763
0.91,H,SI2,65.7,60,6.03,5.99,3.95,2763
0.98,H,SI2,67.9,60,6.05,5.97,4.08,2777
0.84,G,SI1,55.1,67,6.39,6.2,3.47,2782
1.01,E,I1,64.5,58,6.29,6.21,4.03,2788
1.05,J,SI2,65.8,59,6.41,6.27,4.18,2789
0.7,G,VVS1,58.8,66,5.81,5.9,3.44,2797
1.01,E,SI2,67.4,60,6.19,6.05,4.13,2797
0.76,G,VS1,59,70,5.89,5.8,3.46,2800
0.9,I,SI1,67.3,59,5.93,5.84,3.96,2804
0.57,E,VVS1,58.7,66,5.34,5.43,3.16,2805
0.74,F,VS2,61.1,68,5.82,5.75,3.53,2805
1,G,I1,66.4,59,6.16,6.09,4.07,2808
1.2,F,I1,64.6,56,6.73,6.66,4.33,2809
1,J,VS2,65.7,59,6.14,6.07,4.01,2811
0.99,I,SI2,68.1,56,6.21,6.06,4.18,2811
0.99,J,SI1,55,61,6.72,6.67,3.68,2812
0.9,J,VS2,65,56,6.08,6.04,3.94,2815
0.95,F,SI2,56,60,6.62,6.53,3.68,2815
0.96,E,SI2,53.1,63,6.73,6.65,3.55,2815
1,H,SI2,65.3,62,6.34,6.12,4.08,2818
0.9,H,SI2,65.8,54,6.05,5.98,3.96,2823
0.91,H,SI2,61.3,67,6.24,6.19,3.81,2825
0.9,G,SI2,65.3,59,6.07,6,3.94,2834
0.82,F,SI1,64.9,58,5.83,5.79,3.77,2838
0.95,G,SI1,66.7,56,6.16,6.03,4.06,2841
1.01,H,SI2,65.4,59,6.3,6.26,4.11,2846
0.75,D,SI2,64.6,57,5.74,5.72,3.7,2848
0.91,J,VS2,64.4,62,6.06,6.03,3.89,2854
0.91,J,VS2,65.4,60,6.04,6,3.94,2854
0.91,H,SI1,65.8,58,6.04,6.01,3.96,2854
0.98,E,SI2,53.3,67,6.82,6.74,3.61,2855
1.02,I,SI1,53,63,6.84,6.77,3.66,2856
1,G,SI2,67.8,61,5.96,5.9,4.02,2856
1,I,SI1,67.9,62,6.19,6.03,4.15,2856
1,H,SI2,66.1,56,6.21,5.97,4.04,2856
0.9,G,SI2,64.5,56,6.06,6,3.89,2858
0.71,D,VS2,56.9,65,5.89,5.84,3.34,2858
0.75,F,VS1,55.8,70,6.09,5.98,3.37,2859
0.62,F,IF,60.1,61,5.53,5.56,3.33,2861
1.01,E,SI2,67.6,57,6.21,6.11,4.18,2862
0.96,F,SI2,68.2,61,6.07,5.88,4.1,2867
1,H,SI1,65.5,62,6.14,6.07,4,2873
0.9,I,SI1,65.7,58,6.03,6,3.95,2873
0.9,I,SI1,65.3,61,5.98,5.94,3.89,2873
0.9,I,SI1,65.8,56,6.01,5.96,3.94,2873
1,H,SI2,67.7,60,6.11,5.98,4.09,2875
1,J,VS1,65.5,55,6.3,6.25,4.11,2875
1,I,SI1,66.3,61,6.08,6.03,4.01,2875
1,H,SI2,69.5,55,6.17,6.1,4.26,2875
0.72,F,VS1,56.9,69,5.93,5.77,3.33,2879
0.88,F,SI1,56.6,65,6.39,6.32,3.6,2882
0.9,H,SI2,65,61,6.01,5.96,3.89,2883
1.03,I,SI2,65.3,55,6.32,6.27,4.11,2884
0.8,E,SI1,56.3,63,6.22,6.14,3.48,2885
0.9,D,SI2,66.9,57,6.02,5.9,3.99,2885
1.19,H,I1,65.1,59,6.62,6.55,4.29,2892
0.71,E,VS2,64.6,59,5.62,5.59,3.62,2902
1,H,SI2,65.2,54,6.3,6.22,4.08,2912
1,I,SI1,66,56,6.31,6.24,4.13,2912
1,H,SI2,67,55,6.25,6.12,4.16,2912
0.9,I,VS2,64.1,66,6.04,5.98,3.85,2921
0.9,E,SI2,65,58,6.08,6.04,3.94,2930
1.17,I,I1,65.4,62,6.68,6.57,4.33,2935
0.75,E,VS2,56,67,6.18,6.08,3.43,2940
1.03,G,SI2,65.7,59,6.3,6.24,4.12,2942
1.01,G,SI2,67.1,59,6.27,6.19,4.18,2942
0.9,I,SI2,66.4,60,5.92,5.86,3.91,2948
1,E,SI2,65.8,58,6.28,6.16,4.09,2948
0.99,J,SI1,58,67,6.57,6.5,3.79,2949
0.98,F,SI2,61.6,66,6.46,6.24,3.92,2958
0.74,G,VVS2,65.2,58,5.7,5.6,3.69,2959
0.7,E,VS1,64.5,57,5.59,5.55,3.59,2964
0.9,F,SI2,65.7,59,6.03,5.99,3.95,2964
0.9,J,VS1,65.4,60,6.02,5.93,3.91,2964
1,G,SI1,65.7,54,6.24,6.16,4.07,2964
1.5,H,I1,65.6,54,7.26,7.09,4.7,2964
0.9,J,VS1,64.6,58,6.12,6.06,3.93,2964
1.13,H,I1,64.8,59,6.52,6.42,4.19,2968
0.91,F,SI1,64.9,57,6.13,6.08,3.96,2971
1,D,SI2,69.3,58,5.96,5.87,4.1,2974
0.9,E,SI2,65.8,59,6.03,5.98,3.95,2982
1.06,J,SI2,61,66,6.54,6.35,3.93,2992
1.01,G,SI1,65.1,57,6.27,6.22,4.07,2993
0.91,F,SI2,65.3,51,6.05,5.98,3.93,2996
1.01,J,VVS2,66,56,6.29,6.22,4.13,2998
0.85,G,VS1,57.7,67,6.26,6.19,3.59,2998
1.02,H,I1,61.5,60,6.4,6.34,3.92,2999
0.73,F,VS1,58.6,66,5.92,5.88,3.46,3002
1.01,D,SI2,64.6,56,6.31,6.24,4.05,3003
1.2,J,I1,64.9,59,6.61,6.54,4.27,3011
1.2,I,I1,62.2,66,6.77,6.7,4.2,3011
1.2,I,I1,66.2,55,6.61,6.51,4.34,3011
1,E,SI2,55.4,62,6.63,6.59,3.66,3011
0.9,H,SI1,65.6,57,6.04,6.01,3.95,3024
1.02,J,SI1,66.8,55,6.25,6.18,4.15,3027
1,G,SI2,64.9,57,6.29,6.2,4.05,3027
0.77,F,VS1,66.8,57,5.66,5.76,3.82,3031
0.92,I,VS2,64.4,58,6.13,6.1,3.94,3033
0.7,F,VS1,64.9,59,5.56,5.59,3.62,3039
0.73,D,VS1,66,54,5.56,5.66,3.7,3047
1.03,G,SI1,66.1,56,6.26,6.2,4.12,3052
1.01,I,SI2,66.1,58,6.21,6.04,4.05,3054
1.01,I,SI2,68.1,59,6.14,6.11,4.17,3054
0.82,H,SI1,64.9,58,5.82,5.77,3.76,3057
0.71,G,VVS1,62.8,57,5.67,5.57,3.53,3062
0.9,F,SI2,65.7,63,6.01,5.96,3.93,3062
0.9,I,VVS2,67,56,5.91,5.83,3.93,3074
0.71,D,VS2,64.7,58,5.61,5.58,3.62,3077
0.91,D,SI2,62.5,66,6.08,6.01,3.78,3079
1,J,VS1,66.6,57,6.07,6.03,4.03,3080
0.9,E,SI2,64.5,55,6.12,6.03,3.92,3084
0.9,E,SI2,65.8,58,6.02,5.98,3.95,3084
1.02,I,SI2,64.5,56,6.28,6.25,4.04,3084
0.9,G,SI2,55.9,62,6.35,6.42,3.57,3104
0.9,G,SI2,64.7,58,5.94,6.03,3.87,3104
0.9,H,SI2,65.6,58,6.05,5.95,3.95,3105
0.92,F,SI1,64.9,58,6.1,6.04,3.94,3117
1.16,H,SI2,68.2,55,6.47,6.37,4.38,3118
1.02,J,SI2,65,59,6.34,6.24,4.08,3119
0.91,E,SI2,64.5,60,6.04,5.96,3.87,3119
1,E,SI2,66.6,59,6.07,6.01,4.02,3136
1,E,SI2,67,53,6.19,6.13,4.13,3136
1,E,SI2,67,53,6.19,6.13,4.13,3136
1,G,SI2,64.6,67,6.25,6.19,4.02,3142
1,G,SI2,68.3,54,6.21,6.12,4.2,3142
0.9,G,SI1,65.4,57,6.04,5.95,3.92,3145
0.9,G,SI1,65.6,56,6.1,6.03,3.98,3145
0.9,G,SI1,65.4,59,6.04,6,3.94,3145
0.9,H,SI1,66.8,55,5.98,5.9,3.97,3145
1,F,SI2,65.5,56,6.3,6.19,4.09,3146
1.03,J,SI2,64.6,62,6.3,6.21,4.06,3149
0.95,J,SI1,58,66,6.5,6.46,3.76,3154
0.9,F,SI1,66,57,6.06,6,3.98,3160
1,H,SI2,63.7,54,6.42,6.27,4.06,3164
0.87,I,VS2,57.3,59,6.29,6.44,3.65,3166
1.01,H,SI2,64.5,54,6.26,6.15,4,3167
1.09,F,SI2,66.3,56,6.47,6.39,4.27,3170
0.84,F,VS2,65,57.2,5.83,5.87,3.81,3172
0.93,G,SI2,66.1,58.1,6,6.04,3.98,3172
1.01,G,SI2,68.5,63,6.08,6,4.14,3173
1,J,SI1,65.3,57,6.33,6.12,4.08,3175
1.5,H,I1,69.3,61,6.99,6.81,4.78,3175
0.91,H,SI1,64.4,60,6.1,6.07,3.92,3180
0.91,H,SI1,64.8,57,6.12,6.07,3.95,3180
0.9,E,SI2,57.5,68,6.37,6.33,3.65,3187
1.01,J,VS2,65.8,55,6.29,6.24,4.12,3190
1,H,SI2,64.4,57,6.35,6.29,4.07,3192
1.01,F,SI1,66.1,60,6.15,6.13,4.06,3197
1,J,SI2,56.3,64,6.58,6.54,3.69,3199
0.71,F,IF,58.7,62,5.87,5.81,3.43,3205
0.9,D,SI2,65.9,59,6,5.95,3.94,3205
0.9,D,SI2,66,58,6,5.97,3.95,3205
0.9,D,SI2,64.7,54,6.1,6.04,3.93,3205
0.9,D,SI2,65.7,60,5.98,5.93,3.91,3205
0.9,D,SI2,64.7,59,6.09,5.99,3.91,3205
0.91,F,SI2,64.9,56,6.08,6.05,3.94,3210
0.96,I,VS2,56.1,60,6.62,6.58,3.7,3215
0.9,H,VS2,65.5,57,6.05,6.01,3.95,3226
1.03,J,SI2,56.2,62,6.73,6.69,3.77,3246
0.9,I,VS2,65.4,60,6.03,5.96,3.93,3246
0.25,D,VS1,61.2,55,4.09,4.11,2.51,563
1,H,SI2,66.5,62,6.19,6.1,4.09,3248
0.9,G,SI1,65.2,59,6.05,6.01,3.93,3250
0.93,I,VS2,64.7,58,6.09,6.06,3.93,3258
1,I,VS2,65.7,58,6.25,6.2,4.09,3265
1,F,SI2,65.1,55,6.26,6.23,4.07,3265
1,F,SI2,65.1,55,6.26,6.23,4.07,3265
0.9,E,VS1,67.6,56,5.94,5.9,4,3276
0.91,H,SI1,65.3,62,6.11,6.01,3.96,3278
1.01,I,SI1,65.5,58,6.28,6.24,4.1,3280
0.9,H,SI1,61.4,61,6.08,6.14,3.75,3282
0.92,F,SI2,65.3,58,6.08,6.04,3.96,3282
0.92,F,SI2,65.1,58,6.12,6.07,3.97,3282
0.94,H,SI1,68.4,53,6.05,5.97,4.11,3285
0.9,I,VVS2,60.9,66,6.1,6.12,3.72,3288
1.02,I,SI2,66.2,57,6.34,6.26,4.17,3290
1.01,E,SI2,64.6,59,6.22,6.18,4.01,3294
0.7,D,VVS2,58.5,62,5.72,5.81,3.37,3296
0.96,G,SI1,69.7,59,6.09,5.9,4.18,3299
1.08,J,SI2,64.9,60,6.46,6.32,4.15,3302
1,D,SI2,64.8,60,6.23,6.18,4.02,3304
1,G,SI1,65.8,55,6.22,6.19,4.08,3304
0.81,G,VVS2,64.8,56.2,5.82,5.98,3.82,3323
0.92,F,SI1,66,57,6.04,5.99,3.97,3323
0.9,F,SI1,65.3,61,6,5.95,3.9,3326
0.9,E,SI1,65,61,6.05,6.02,3.92,3332
0.98,G,SI2,66.6,56,6.12,6.02,4.04,3332
0.99,I,SI1,60.7,66,6.42,6.34,3.87,3337
0.9,E,SI2,64.5,57,6.13,6.09,3.94,3342
1,I,SI2,65.8,58,6.23,6.27,4.11,3348
0.94,H,SI2,66,50.1,6.13,6.17,4.06,3353
0.93,G,SI1,64.4,57,6.14,6.09,3.94,3358
0.9,H,VS2,65.6,55,6.01,5.97,3.93,3375
0.9,D,SI1,66.4,59,5.97,5.92,3.95,3382
0.95,D,SI2,64.4,60,6.06,6.02,3.89,3384
0.9,H,SI1,65.4,56,6.11,6.04,3.97,3387
0.9,I,VS1,65.2,60,6,5.96,3.9,3387
1,F,SI1,68.7,55,6.06,5.88,4.11,3387
1.14,J,SI2,64.4,55,6.56,6.54,4.22,3403
0.92,E,SI1,65.6,57,6.1,6.07,3.99,3407
0.86,G,VS2,66.5,54.1,5.89,5.97,3.94,3418
1,J,VS2,65.3,61,6.33,6.13,4.03,3422
1,J,SI1,64.9,58,6.29,6.23,4.06,3427
0.9,F,SI1,65.1,56,6.08,6.05,3.95,3437
1,F,SI2,65.7,61,6.13,6.11,4.02,3443
1.09,J,VS2,64.6,58,6.48,6.41,4.16,3443
1.01,G,SI2,65.1,58,6.29,6.21,4.07,3461
1,H,SI2,66.1,59,6.18,6.13,4.07,3472
0.9,D,SI2,64.9,57,6.03,5.98,3.9,3473
0.9,D,SI2,64.5,61,6.1,6,3.9,3473
1.01,F,SI2,64.8,55,6.37,6.26,4.1,3477
1.01,H,SI1,64.4,59,6.22,6.17,3.99,3482
0.9,H,VS1,65.9,60,5.99,5.96,3.94,3500
1.52,H,I1,64.9,58,7.18,7.13,4.65,3504
0.9,E,SI1,65.5,59,6.06,6.03,3.96,3508
1,H,SI1,65.5,57,6.26,6.21,4.08,3511
1,H,SI1,65.5,57,6.26,6.21,4.08,3511
1.03,G,SI2,65.7,58,6.32,6.26,4.13,3530
1.03,I,SI2,65.2,56,6.42,6.35,4.16,3530
0.96,E,SI2,65.6,58,6.11,6.15,4.02,3533
0.92,H,SI2,64.5,60,6.06,6.01,3.89,3536
0.9,H,VS2,64.8,58,6.07,6.03,3.92,3538
0.9,H,VS2,64.6,55,6.07,6,3.9,3538
1.01,F,SI2,64.6,59,6.19,6.25,4.2,3540
1,G,SI2,64.7,58,6.24,6.19,4.02,3541
1.07,G,SI2,66.8,57,6.34,6.26,4.21,3545
1.01,H,SI1,66.4,57,6.12,6.08,4.05,3546
1.04,G,SI2,66.1,60,6.32,6.23,4.15,3564
1,E,SI2,65.1,59,6.3,6.23,4.08,3575
0.98,H,SI1,68.6,58,6.18,6.04,4.19,3583
1,I,SI1,64.8,59,6.23,6.14,4.01,3584
0.99,H,VS2,71.6,57,5.94,5.8,4.2,3593
1.01,F,SI2,60.1,66,6.44,6.41,3.86,3597
1.01,I,VS2,68.7,58,6.14,6,4.19,3597
1.01,F,SI2,67.3,62,6.09,6.03,4.08,3597
1.01,F,SI2,66.7,64,6.14,6.05,4.06,3597
0.9,F,SI2,64.6,56,6.01,6.07,3.9,3613
1.05,F,SI2,66,60,6.3,6.22,4.13,3615
1.03,H,SI1,65.1,57,6.43,6.36,4.16,3617
0.98,F,SI1,61.8,66,6.38,6.27,3.91,3622
0.9,G,SI1,64.5,57,6.07,6.03,3.9,3629
1,G,SI1,67.7,57,6,6.15,4.11,3631
1.06,G,SI2,65.3,62,6.33,6.25,4.11,3633
1.02,F,SI2,66.6,58,6.21,6.14,4.11,3633
1,D,SI2,65.2,56,6.27,6.21,4.07,3634
1,G,SI1,43,59,6.32,6.27,3.97,3634
1,H,SI2,65.1,58,6.27,6.15,4.05,3640
0.96,H,VS2,68.8,56,6.11,5.98,4.16,3658
1,F,SI1,66.7,57,6.07,5.99,4.02,3669
1.12,I,SI2,64.6,57,6.5,6.47,4.19,3669
1.01,G,SI1,66.1,56,6.26,6.2,4.12,3671
0.96,E,SI2,57.7,67,6.49,6.46,3.73,3674
1.01,H,VS1,67.1,59,6.16,6.09,4.11,3676
0.96,F,SI2,65.2,58,6.14,6.12,3.99,3688
0.9,D,SI1,64.8,59,6.1,6.03,3.93,3689
0.9,D,SI1,64.5,61,6.05,6.01,3.89,3689
1.23,E,I1,67.4,56,6.76,6.56,4.49,3692
1,E,SI1,66.5,55,6.21,6.19,4.12,3696
1.2,H,SI2,65.6,57,6.73,6.57,4.36,3696
0.9,H,VS2,64.7,58,5.98,6.01,3.88,3697
1,G,SI1,66.1,62,6.1,6.03,4.01,3700
0.9,H,VS2,64.6,54,6.09,6.14,3.95,3725
0.91,D,SI1,64.7,61,6.06,5.99,3.9,3730
0.91,D,SI1,65.2,57,6.08,6.04,3.95,3730
1.11,H,SI2,64.4,58,6.55,6.5,4.2,3730
1.01,H,VS2,65.2,56,6.23,6.19,4.05,3733
1.51,F,I1,67.8,59,7.09,7,4.78,3734
1.51,F,I1,67.5,56,7.17,7.05,4.8,3734
1,F,SI2,65.1,60,6.19,6.1,4,3740
0.9,E,SI1,64.9,56,6.12,6.18,3.99,3743
1.03,D,SI2,66.4,56,6.31,6.19,4.15,3743
1.52,I,I1,67.7,58,7.07,7,4.76,3745
1.03,H,SI2,66.3,57,6.35,6.25,4.18,3749
0.9,F,VS1,65.7,59,5.96,5.92,3.9,3750
0.9,F,VS2,65.7,57,6.03,5.99,3.95,3750
0.93,H,SI1,64.6,58,6.13,6.07,3.94,3750
0.9,D,SI1,65.7,65,6.06,5.94,3.94,3751
1.02,F,SI2,65.5,59,6.27,6.24,4.1,3754
0.86,G,VS1,64.6,58.8,5.95,6.04,3.87,3756
1,E,SI2,64.6,54,6.33,6.27,4.07,3763
1,I,VS1,65.3,55,6.34,6.25,4.11,3763
1,E,SI2,69,56,6.01,5.94,4.12,3763
1.22,G,SI2,64.7,61,6.75,6.68,4.34,3763
1.51,H,I1,65.6,61,7.16,7,4.66,3765
1.03,G,SI2,65.6,58,6.3,6.26,4.12,3765
1,D,SI2,65.6,66,6.1,6.01,3.97,3767
1,J,SI1,64.7,52,6.35,6.3,4.09,3780
1.04,D,SI2,65.8,58,6.32,6.25,4.13,3780
0.9,F,SI2,62.6,58,6.01,6.06,3.78,3787
1.02,G,SI2,65.3,58,6.33,6.22,4.1,3787
1.01,E,SI2,60,60,6.48,6.38,3.86,3801
1.01,I,VS1,64.9,56,6.29,6.2,4.07,3801
1.02,I,SI2,65.5,57,6.19,6.24,4.07,3802
0.9,G,VS1,65.7,58,6.02,5.97,3.94,3806
0.9,D,SI1,60.4,61,6.24,6.22,3.76,3812
0.73,E,VVS2,57.4,59,5.99,5.95,3.43,3813
1.05,D,SI2,65.4,59,6.3,6.24,4.1,3816
1.01,G,SI2,58.7,67,6.52,6.56,3.84,3816
1.01,G,SI2,59.8,66,6.42,6.48,3.86,3816
0.91,H,SI1,64.7,56,6.1,6.07,3.94,3816
1,H,VS2,64.8,55,6.35,6.28,4.09,3819
1,H,SI1,55.2,64,6.69,6.64,3.68,3830
1,G,SI1,68.2,60,6.02,5.94,4.08,3833
1.17,I,SI2,59.2,68,6.91,6.84,4.07,3833
1,G,SI1,68.9,56,6.16,6.11,4.23,3833
0.91,F,VS2,66.8,58,5.95,5.97,3.98,3837
1.01,F,SI2,65.2,57,6.33,6.24,4.1,3837
1.02,E,SI2,65.3,59,6.28,6.22,4.08,3838
0.9,D,SI2,64.6,59,6.04,6.01,3.89,3847
0.91,D,SI1,64.4,60,6.08,6.04,3.9,3855
1.01,G,SI2,64.7,58,6.14,6.23,4,3856
1.08,E,SI2,64.9,60,6.43,6.39,4.16,3861
1.21,H,SI1,69.6,55,6.49,6.42,4.49,3862
1.21,H,SI2,65.6,56,6.69,6.59,4.36,3862
1,F,SI2,65.5,54,6.2,6.16,4.05,3864
1.01,H,SI1,64.5,59,6.27,6.23,4.03,3869
1.01,H,SI1,65.3,61,6.23,6.18,4.05,3869
1.01,D,SI2,64.7,57,6.31,6.27,4.07,3871
0.9,E,VS2,65.2,61,6.01,5.98,3.91,3875
1.03,E,SI2,65.3,59,6.3,6.25,4.1,3876
1.26,H,SI2,64.9,60,6.7,6.62,4.32,3881
1.01,J,VS2,59.6,62,6.54,6.49,3.88,3886
1,E,SI2,56.9,63,6.54,6.49,3.71,3889
1.1,E,SI1,65.5,57,6.45,6.37,4.2,3891
1.03,I,SI1,57.4,61,6.67,6.71,3.84,3892
1.18,D,SI2,57,66,6.96,6.91,3.98,3899
1.01,E,SI2,57.9,57,6.51,6.55,3.78,3916
1,I,SI1,56.4,61,6.58,6.55,3.7,3920
0.51,F,VVS2,65.4,60,4.98,4.9,3.23,3920
0.92,H,VS1,56,60,6.53,6.51,3.65,3924
0.9,F,VS2,64.7,54,6.09,6.03,3.92,3931
0.9,D,VS2,57.5,66,6.3,6.25,3.61,3931
0.9,D,SI1,66.1,55,5.98,5.92,3.93,3945
1,I,VS1,64,49,6.43,6.39,4.1,3951
1,G,SI1,68.3,61,6.02,5.93,4.08,3965
1,G,SI1,65.2,62,6.19,6.08,4.01,3965
1,D,SI2,65,56,6.27,6.23,4.06,3965
1,D,SI2,66.5,59,6.24,6.21,4.14,3965
1.02,H,SI1,64.6,55,6.33,6.28,4.07,3972
1,F,SI2,59.3,66,6.44,6.51,3.84,3975
1.08,J,VS2,65.1,54,6.47,6.44,4.2,3980
1.21,J,SI2,64.6,59,6.74,6.64,4.32,3984
1.25,H,SI2,64.4,58,6.82,6.71,4.36,3990
1.01,E,SI2,56.8,66,6.63,6.58,3.75,3991
1.01,F,SI1,66.8,60,6.21,6.13,4.12,3991
0.9,F,VS2,58.9,67,6.18,6.17,3.64,3992
1.01,G,SI1,64.2,59,6.31,6.28,4.04,4004
1,E,SI2,57.3,62,6.54,6.59,3.76,4032
1,G,VS2,44,53,6.31,6.24,4.12,4032
1,F,SI2,59,67,6.48,6.41,3.8,4036
1.03,H,SI2,67,61,6.25,6.17,4.16,4038
0.74,D,VVS2,65.4,53,5.73,5.71,3.74,4040
1.01,H,VS1,66.1,55,6.28,6.24,4.14,4044
1.02,G,SI1,64.5,56,6.3,6.23,4.04,4044
1.2,G,SI2,65.5,59,6.73,6.53,4.34,4044
1.01,G,SI2,58.3,62,6.46,6.5,3.78,4047
0.94,F,SI1,56.8,67,6.56,6.44,3.69,4053
1.11,J,SI2,64.8,55.1,6.44,6.55,4.21,4056
0.9,E,VS2,65,55,6.11,6.04,3.95,4057
1.24,G,SI2,65.7,57,6.72,6.68,4.4,4058
0.97,F,SI1,56.4,66,6.59,6.54,3.7,4063
1.01,G,VS2,65.7,54,6.32,6.28,4.14,4072
1,E,SI2,64.6,60,6.23,6.18,4.01,4077
1.22,I,SI1,66.2,60,6.61,6.56,4.36,4099
0.31,E,SI1,56.9,66,4.53,4.47,2.56,579
1.01,G,SI1,66.9,56,6.15,6.22,4.14,4102
1.01,E,SI1,65.6,59,6.22,6.18,4.07,4106
0.91,D,VS2,65.7,56,6.1,6.05,3.99,4107
0.91,D,VS2,65.7,58,6.04,5.99,3.95,4107
1.13,H,SI2,64.4,58,6.59,6.51,4.22,4113
0.91,H,VVS1,56.5,67,6.38,6.4,3.61,4115
1.01,E,SI2,55.2,65,6.78,6.67,3.71,4118
1.01,E,SI2,64.7,55,6.37,6.3,4.1,4118
1.01,D,SI1,66.3,55,6.22,6.17,4.11,4118
1.13,J,SI1,64.9,55,6.49,6.56,4.24,4123
0.9,E,VS2,64.5,61,6.07,6.03,3.9,4125
1.01,F,SI2,58.2,61,6.48,6.52,3.78,4127
1.01,H,SI2,64.9,56,6.33,6.25,4.08,4129
1.32,H,I1,65.8,55,6.87,6.83,4.51,4140
1,E,SI1,66.3,62,6.27,6.06,4.09,4140
1.41,H,I1,64.7,58,7.05,7,4.55,4145
1.21,J,SI1,65,59,6.64,6.57,4.29,4147
1.21,J,SI1,65.3,60,6.6,6.51,4.28,4147
1,H,SI1,56.3,63,6.63,6.61,3.73,4150
1.36,J,SI2,67.8,55,6.73,6.66,4.54,4158
1,G,SI1,63.1,59,6.32,6.27,3.97,4163
1,H,VS2,66.8,63,6.19,6.08,4.1,4166
1.51,G,I1,65.6,54,7.28,7.1,4.72,4167
1.13,F,SI2,64.4,56,6.58,6.52,4.22,4176
1.01,E,SI1,64.7,59,6.23,6.11,3.99,4181
0.9,F,VS1,66.2,55,6.11,5.97,4,4183
1.01,H,SI1,64.6,55,6.29,6.25,4.05,4191
0.9,I,VVS1,63.5,57,5.98,6.09,3.83,4194
1.01,D,SI2,65.3,55,6.33,6.19,4.09,4205
1,E,SI1,58.1,63,6.6,6.52,3.81,4213
0.9,E,SI1,59.2,60,6.17,6.22,3.67,4220
1.16,H,SI2,66.3,57,6.56,6.5,4.33,4222
